Date,Open,High,Low,Close,Volume,Adj Close
2012-05-16,29.58,30.18,28.879999,29.18,1257100,29.18
2012-05-15,30.26,30.959999,29.219999,29.43,1585700,29.43
2012-05-14,31.92,32.130001,30.049999,30.059999,1380900,30.059999
2012-05-11,32.490002,33.439999,32.16,32.25,1221300,32.25
2012-05-10,32.970001,34.68,32.400002,32.959999,5556300,32.959999
2012-05-09,30.299999,30.77,29.76,30.059999,1947900,30.059999
2012-05-08,32.50,32.73,29.370001,30.190001,3097200,30.190001
2012-05-07,31.959999,32.580002,31.610001,32.470001,1158000,32.470001
2012-05-04,32.32,32.459999,31.40,31.83,1247500,31.83
2012-05-03,33.91,34.00,32.130001,32.459999,841300,32.459999
2012-05-02,33.50,34.389999,33.389999,33.939999,497300,33.939999
2012-05-01,33.130001,34.209999,33.130001,33.779999,659000,33.779999
2012-04-30,33.27,33.360001,32.580002,33.130001,413900,33.130001
2012-04-27,33.599998,33.630001,32.91,33.34,591000,33.34
2012-04-26,32.959999,33.52,32.91,33.490002,425300,33.490002
2012-04-25,32.07,32.990002,32.07,32.91,712200,32.91
2012-04-24,31.82,32.200001,31.00,31.82,674500,31.82
2012-04-23,32.860001,32.970001,31.709999,31.940001,890800,31.940001
2012-04-20,33.139999,33.73,32.939999,33.16,821800,33.16
2012-04-19,32.75,33.43,32.50,33.16,774900,33.16
2012-04-18,32.09,32.75,31.530001,32.66,823100,32.66
2012-04-17,32.43,33.07,32.040001,32.240002,1115500,32.240002
2012-04-16,33.41,33.700001,32.09,32.25,1099600,32.25
2012-04-13,33.939999,34.040001,32.849998,33.59,649600,33.59
2012-04-12,33.77,34.48,32.919998,33.439999,1033900,33.439999
2012-04-11,33.240002,33.290001,32.009998,33.09,1105500,33.09
2012-04-10,33.150002,33.849998,32.099998,32.459999,1847700,32.459999
2012-04-09,34.099998,34.290001,33.099998,33.150002,1655700,33.150002
2012-04-05,35.099998,35.439999,34.41,34.48,1509400,34.48
2012-04-04,35.27,35.490002,34.689999,35.00,4481800,35.00
2012-04-03,36.700001,38.470001,36.669998,38.009998,1098100,38.009998
2012-04-02,37.330002,37.970001,36.529999,36.580002,1028600,36.580002
2012-03-30,37.52,37.939999,36.68,37.240002,886400,37.240002
2012-03-29,38.189999,38.189999,37.029999,37.330002,796400,37.330002
2012-03-28,37.779999,38.439999,37.110001,37.849998,955000,37.849998
2012-03-27,37.16,39.950001,37.029999,37.939999,2539200,37.939999
2012-03-26,35.59,38.09,35.040001,37.400002,3140500,37.400002
2012-03-23,34.259998,34.630001,33.150002,34.080002,1170600,34.080002
2012-03-22,34.970001,35.150002,34.299999,34.400002,522400,34.400002
2012-03-21,34.939999,35.299999,34.599998,35.150002,607200,35.150002
2012-03-20,34.98,35.200001,34.57,34.959999,567000,34.959999
2012-03-19,35.259998,35.32,34.540001,34.98,1015600,34.98
2012-03-16,34.900002,35.889999,34.830002,35.32,729300,35.32
2012-03-15,35.279999,35.48,34.779999,35.00,571600,35.00
2012-03-14,36.00,36.00,34.799999,35.290001,851500,35.290001
2012-03-13,36.509998,36.59,35.50,36.09,1001600,36.09
2012-03-12,34.689999,36.290001,34.599998,36.009998,1963300,36.009998
2012-03-09,33.200001,35.310001,33.200001,34.740002,1553400,34.740002
2012-03-08,33.110001,33.490002,33.040001,33.07,633300,33.07
2012-03-07,33.119999,33.310001,32.91,33.119999,364900,33.119999
2012-03-06,33.25,33.279999,32.619999,33.110001,573800,33.110001
2012-03-05,34.349998,34.400002,33.459999,33.77,467000,33.77
2012-03-02,34.400002,34.50,33.709999,34.040001,550000,34.040001
2012-03-01,33.509998,34.50,33.310001,34.41,703500,34.41
2012-02-29,33.810001,34.119999,33.139999,33.41,535700,33.41
2012-02-28,33.639999,34.439999,33.169998,33.810001,612200,33.810001
2012-02-27,33.41,34.00,33.00,33.619999,606000,33.619999
2012-02-24,34.23,34.52,33.27,33.75,959900,33.75
2012-02-23,33.990002,34.970001,33.560001,34.529999,820400,34.529999
2012-02-22,34.50,34.720001,32.50,34.220001,1654600,34.220001
2012-02-21,34.869999,34.869999,33.810001,34.50,1135800,34.50
2012-02-17,33.990002,34.970001,33.50,34.970001,1376700,34.970001
2012-02-16,33.50,34.509998,32.540001,34.18,2219700,34.18
2012-02-15,33.099998,34.41,32.27,33.599998,2761800,33.599998
2012-02-14,31.74,33.790001,31.40,33.169998,1810800,33.169998
2012-02-13,31.549999,32.060001,30.90,31.49,1157900,31.49
2012-02-10,32.259998,32.27,29.84,31.10,1874200,31.10
2012-02-09,32.00,32.900002,31.43,32.580002,1277100,32.580002
2012-02-08,31.60,32.009998,31.290001,31.93,623700,31.93
2012-02-07,31.799999,31.799999,30.82,31.60,1021600,31.60
2012-02-06,31.10,31.90,31.049999,31.799999,652100,31.799999
2012-02-03,30.41,31.33,30.25,31.15,764500,31.15
2012-02-02,29.719999,30.879999,29.610001,30.25,805700,30.25
2012-02-01,29.07,29.700001,29.00,29.58,523200,29.58
2012-01-31,29.90,30.00,28.870001,29.07,956400,29.07
2012-01-30,29.49,29.610001,28.530001,29.57,729000,29.57
2012-01-27,28.50,29.719999,28.50,29.33,748400,29.33
2012-01-26,28.07,29.58,28.00,28.940001,1271100,28.940001
2012-01-25,27.27,28.01,27.049999,27.969999,611200,27.969999
2012-01-24,26.629999,27.68,26.440001,27.42,858000,27.42
2012-01-23,26.809999,27.209999,26.60,26.77,594600,26.77
2012-01-20,26.90,27.00,26.40,26.60,662300,26.60
2012-01-19,27.190001,27.74,26.610001,26.76,1246300,26.76
2012-01-18,26.690001,26.879999,26.25,26.809999,1260200,26.809999
2012-01-17,26.620001,27.34,26.41,26.60,4651600,26.60
2012-01-13,28.40,28.50,22.639999,22.790001,5500400,22.790001
2012-01-12,28.48,28.620001,27.809999,28.25,729300,28.25
2012-01-11,27.620001,28.379999,27.299999,28.23,672300,28.23
2012-01-10,27.440001,27.76,27.25,27.620001,671800,27.620001
2012-01-09,27.00,27.49,26.120001,27.25,897000,27.25
2012-01-06,27.200001,27.790001,26.41,26.91,986300,26.91
2012-01-05,27.76,27.93,26.85,27.120001,1005500,27.120001
2012-01-04,28.209999,28.67,27.50,27.709999,630100,27.709999
2012-01-03,28.940001,29.50,27.65,28.08,928100,28.08
